P=2.0 I=0.0 D=0.0
Time,Temperature
2019-11-25 19:06:00,31.87
2019-11-25 19:06:02,31.87
2019-11-25 19:06:04,31.87
2019-11-25 19:06:06,31.88
2019-11-25 19:06:09,31.88
2019-11-25 19:06:11,31.89
2019-11-25 19:06:13,31.9
2019-11-25 19:06:15,31.9
2019-11-25 19:06:17,31.9
2019-11-25 19:06:20,31.91
2019-11-25 19:06:22,31.91
2019-11-25 19:06:24,31.91
2019-11-25 19:06:26,31.92
2019-11-25 19:06:28,31.92
2019-11-25 19:06:30,31.92
2019-11-25 19:06:33,31.93
2019-11-25 19:06:35,31.93
2019-11-25 19:06:37,31.93
2019-11-25 19:06:39,31.94
2019-11-25 19:06:41,31.94
2019-11-25 19:06:44,31.95
2019-11-25 19:06:46,31.95
2019-11-25 19:06:48,31.95
2019-11-25 19:06:50,31.95
2019-11-25 19:06:52,31.95
2019-11-25 19:06:54,31.95
2019-11-25 19:06:57,31.95
2019-11-25 19:06:59,31.96
2019-11-25 19:07:01,31.96
2019-11-25 19:07:03,31.96
2019-11-25 19:07:05,31.96
2019-11-25 19:07:08,31.96
2019-11-25 19:07:10,31.96
2019-11-25 19:07:12,31.96
2019-11-25 19:07:14,31.96
2019-11-25 19:07:16,31.96
2019-11-25 19:07:18,31.95
2019-11-25 19:07:21,31.95
2019-11-25 19:07:23,31.95
2019-11-25 19:07:25,31.95
2019-11-25 19:07:27,31.95
2019-11-25 19:07:29,31.95
2019-11-25 19:07:32,31.94
2019-11-25 19:07:34,31.93
2019-11-25 19:07:36,31.93
2019-11-25 19:07:38,31.93
2019-11-25 19:07:40,31.92
2019-11-25 19:07:42,31.92
2019-11-25 19:07:45,31.92
2019-11-25 19:07:47,31.91
2019-11-25 19:07:49,31.91
2019-11-25 19:07:51,31.91
2019-11-25 19:07:53,31.9
2019-11-25 19:07:56,31.9
2019-11-25 19:07:58,31.89
2019-11-25 19:08:00,31.88
2019-11-25 19:08:02,31.88
2019-11-25 19:08:04,31.87
2019-11-25 19:08:06,31.87
2019-11-25 19:08:09,31.86
2019-11-25 19:08:11,31.86
2019-11-25 19:08:13,31.86
2019-11-25 19:08:15,31.85
2019-11-25 19:08:17,31.85
2019-11-25 19:08:20,31.84
2019-11-25 19:08:22,31.83
2019-11-25 19:08:24,31.83
2019-11-25 19:08:26,31.83
2019-11-25 19:08:28,31.82
2019-11-25 19:08:30,31.82
2019-11-25 19:08:33,31.81
2019-11-25 19:08:35,31.81
2019-11-25 19:08:37,31.81
2019-11-25 19:08:39,31.8
2019-11-25 19:08:41,31.8
2019-11-25 19:08:44,31.8
2019-11-25 19:08:46,31.79
2019-11-25 19:08:48,31.79
2019-11-25 19:08:50,31.78
2019-11-25 19:08:52,31.78
2019-11-25 19:08:54,31.78
2019-11-25 19:08:57,31.78
2019-11-25 19:08:59,31.78
2019-11-25 19:09:01,31.78
2019-11-25 19:09:03,31.77
2019-11-25 19:09:06,31.77
2019-11-25 19:09:08,31.77
2019-11-25 19:09:10,31.77
2019-11-25 19:09:12,31.77
2019-11-25 19:09:14,31.78
2019-11-25 19:09:17,31.77
2019-11-25 19:09:19,31.78
2019-11-25 19:09:21,31.78
2019-11-25 19:09:23,31.78
2019-11-25 19:09:25,31.78
2019-11-25 19:09:28,31.78
2019-11-25 19:09:30,31.78
2019-11-25 19:09:32,31.78
2019-11-25 19:09:34,31.79
2019-11-25 19:09:36,31.79
2019-11-25 19:09:39,31.8
2019-11-25 19:09:41,31.8
2019-11-25 19:09:43,31.8
2019-11-25 19:09:45,31.81
2019-11-25 19:09:47,31.81
2019-11-25 19:09:50,31.81
2019-11-25 19:09:52,31.82
2019-11-25 19:09:54,31.82
2019-11-25 19:09:56,31.82
2019-11-25 19:09:58,31.83
2019-11-25 19:10:00,31.83
2019-11-25 19:10:03,31.83
2019-11-25 19:10:05,31.84
